"country","year","GDP","population","energy_use"
"RUS",1990,517014446227.929,147969406,5942.67811987717
"RUS",1991,517962962962.963,148394216,5871.9943382327
"RUS",1992,460290556900.726,148538197,5357.07699443819
"RUS",1993,435083713850.837,148458777,5060.11636686839
"RUS",1994,395077301248.464,148407912,4427.26643919973
"RUS",1995,395537185734.854,148375787,4291.53342502059
"RUS",1996,391724890744.498,148160129,4254.59294421479
"RUS",1997,404928954191.876,147915361,4070.65837100817
"RUS",1998,270955486862.442,147670784,3982.26585700237
"RUS",1999,195907128350.934,147214776,4137.74703962256
"RUS",2000,259710142196.943,146596869,4224.98951887146
"RUS",2001,306602070620.5,145976482,4287.90829493258
"RUS",2002,345470494417.863,145306497,4289.43957286052
"RUS",2003,430347420184.885,144648618,4461.83176005763
"RUS",2004,591016690732.385,144067316,4494.50152836851
"RUS",2005,764015973481.11,143518814,4541.20863501769
"RUS",2006,989932071352.543,143049637,4689.15108443259
"RUS",2007,1299703478481.65,142805114,4710.47452096269
"RUS",2008,1660848058303.11,142742366,4822.38136319959
"RUS",2009,1222645900055.7,142785348,4529.20319928613
"RUS",2010,1524916715223.95,142849468,4853.36753031766
"RUS",2011,2045922753398.04,143018195,5004.23439250465
"RUS",2012,2208293553878.42,143378447,5056.08323400834
"RUS",2013,2292470078346.22,143805638,4896.95029768812
"RUS",2014,2059241589895.01,144237223,4894.4255206275
"RUS",2015,1363482182197.71,144640716,4785.19572494067
"RUS",2016,1276786350881.14,145015460,4917.54083897618
"RUS",2017,1574199360089,145293260,4999.07990773733
"RUS",2018,1657328773461.31,145398106,5259.90837585133
"RUS",2019,1693115002708.32,145453291,5065.14820867318
"RUS",2020,1493075894362.14,145245148,5044.85366917672
"USA",1990,5.963144e+12,249623000,7669.4512686363
"USA",1991,6.158129e+12,252981000,7629.84715395512
"USA",1992,6.520327e+12,256514000,7675.63655553518
"USA",1993,6.858559e+12,259919000,7708.10161116809
"USA",1994,7.287236e+12,263126000,7755.08252133275
"USA",1995,7.639749e+12,266278000,7760.89035266192
"USA",1996,8.073122e+12,269394000,7841.59288605808
"USA",1997,8577554457000,272657000,7825.23663798017
"USA",1998,9062818202000,275854000,7800.439490719
"USA",1999,9631174489000,279040000,7920.05392329598
"USA",2000,10250947997000,282162411,8055.14548852416
"USA",2001,10581929774000,284968955,7824.24393877407
"USA",2002,10929112955000,287625193,7840.46095949898
"USA",2003,11456442041000,290107933,7791.30391526846
"USA",2004,12217193198000,292805298,7878.53717143427
"USA",2005,13039199193000,295516599,7843.3910574627
"USA",2006,13815586948000,298379912,7694.40657948116
"USA",2007,14474226905000,301231207,7756.0141894981
"USA",2008,14769857911000,304093966,7484.83268900712
"USA",2009,14478064934000,306771529,7053.35846690965
"USA",2010,15048964444000,309378227,7162.55933024159
"USA",2011,15599728123000,311839461,7009.64607964907
"USA",2012,16253972230000,314339099,6820.46062064875
"USA",2013,16843190993000,316726282,6888.38143742637
"USA",2014,17550680174000,319257560,6915.64165280321
"USA",2015,18206020741000,321815121,6789.64733291075
"USA",2016,18695110842000,324353340,6663.4963294418
"USA",2017,19477336549000,326608609,6590.83509745633
"USA",2018,20533057312000,328529577,6738.27272433986
"USA",2019,21380976119000,330226227,6700.93033990565
"USA",2020,21060473613000,331577720,6141.53125755889
